"filename", "language", "HTML", "TypeScript", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"e:\project\arc\EcoSort\EcoSort\src\app.config.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 2, 55
"e:\project\arc\EcoSort\EcoSort\src\app.scss", "SCSS", 0, 0, 3, 0, 0, 6, 3, 12
"e:\project\arc\EcoSort\EcoSort\src\app.ts", "TypeScript", 0, 33, 0, 0, 0, 1, 9, 43
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\aniBack\aniBack1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\aniBack\aniBack2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\aniBack\aniBack3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\aniBack\aniBack4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\camera.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\camera2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\city.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\mic.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\mic1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\mic2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\search2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\text.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\voiceLogo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\classify\warning.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\Left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\arrow-right.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\correct.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\error-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\error.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\exam-back.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\finish-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\profile-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\res.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\right-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\exam\title-icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\feedback\empty-star.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\feedback\flower.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\feedback\full-star.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\frequent\arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\arrow-left.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\close-outline.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon1Act.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon2Act.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon3Act.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\icon4Act.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\index1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\info.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\index\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\loading\earth.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\loading\littleIcon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\loading\loadingLogo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\arrow3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\book.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\headphone.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\message-question.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order1.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order3.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\order4.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\personalcard.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\security-user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\mineHome\setting.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\tabbar\indexIcon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"e:\project\arc\EcoSort\EcoSort\src\common\assets\tabbar\indexIconAct.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
